Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with women participation in ownership,Percent of firms with majority women ownership,Percent of firms with a woman top manager,[B-READY] Percent of firms owned or managed by women among those that held a government contract in last 3 years,Proportion of permanent full-time workers that are women (%),Proportion of permanent full-time production workers that are women (%)*,Proportion of permanent full-time non-production workers that are women (%)*,Proportion of women workers offered formal training over last fiscal year (%)*,"Proportion of women workers offered formal training over last fiscal year (%, only service sector)"
Serbia,2009,,,,Average,28.8,,15.9,,33.9,31.8,48.9,,
Serbia,2009,Sector,Manufacturing,All,Average,32.6,,19,,37.6,31.8,48.9,,
Serbia,2009,Sector,Manufacturing,Manufacturing,Average,32.6,,19,,37.6,31.8,48.9,,
Serbia,2009,Sector,Services,All,Average,26.5,,14,,31.7,,,,
Serbia,2009,Sector,Services,Retail,Average,31.4,,23.6,,45,,,,
Serbia,2009,Sector,Services,Other Services,Average,25.6,,12.1,,29.2,,,,
Serbia,2009,Size,,Small (5-19),Average,22.7,,15.3,,34,34.9,48.5,,
Serbia,2009,Size,,Medium (20-99),Average,39.7,,20.6,,35.1,31.8,51.9,,
Serbia,2009,Size,,Large (100+),Average,33.4,,7.8,,30.5,23.9,43.3,,
Serbia,2009,Gender of Top Manager,,Top manager is female,Average,72.4,,100,,46,41.6,63.7,,
Serbia,2009,Gender of Top Manager,,Top manager is male,Average,19.7,,0,,31.6,29.5,45.4,,
Serbia,2013,,,,Average,34.9,11,15.3,,35.7,27.3,48.7,,
Serbia,2013,Sector,Manufacturing,All,Average,49.8,19.4,21.2,,35.4,27.3,48.7,,
Serbia,2013,Sector,Manufacturing,Manufacturing,Average,49.8,19.4,21.2,,35.4,27.3,48.7,,
Serbia,2013,Sector,Services,All,Average,27.4,6.9,12.4,,35.9,,,,
Serbia,2013,Sector,Services,Retail,Average,30.4,18.2,21.9,,56.5,,,,
Serbia,2013,Sector,Services,Other Services,Average,26.9,4.8,10.6,,32.2,,,,
Serbia,2013,Size,,Small (5-19),Average,32.2,11.3,15.4,,36.4,24.5,46.9,,
Serbia,2013,Size,,Medium (20-99),Average,38.3,11.4,16.3,,35.3,32.5,51.5,,
Serbia,2013,Size,,Large (100+),Average,51,7,11.1,,29.4,27.3,49.8,,
Serbia,2013,Gender of Top Manager,,Top manager is female,Average,90.6,57.4,100,,49.2,29.2,61,,
Serbia,2013,Gender of Top Manager,,Top manager is male,Average,24.8,2.9,0,,33.3,26.8,45.4,,
Serbia,2019,,,,Average,28.5,13.7,18.2,,44.6,35.8,53.9,,
Serbia,2019,Sector,Manufacturing,All,Average,27.5,7.6,21.2,,40.4,35.8,53.9,,
Serbia,2019,Sector,Manufacturing,Manufacturing,Average,27.5,7.6,21.2,,40.4,35.8,53.9,,
Serbia,2019,Sector,Services,All,Average,29,16.7,16.7,,46.6,,,,
Serbia,2019,Sector,Services,Retail,Average,40.5,33.3,33.9,,70.5,,,,
Serbia,2019,Sector,Services,Other Services,Average,26.7,13.3,13.2,,41.5,,,,
Serbia,2019,Size,,Small (5-19),Average,26.9,14.9,20.7,,48.8,37.1,55.1,,
Serbia,2019,Size,,Medium (20-99),Average,32.9,12.2,14.5,,36.6,30.9,48.8,,
Serbia,2019,Size,,Large (100+),Average,22.4,8.5,12.4,,42.9,48.8,69.2,,
Serbia,2019,Gender of Top Manager,,Top manager is female,Average,76.1,49,100,,56.6,36.1,71,,
Serbia,2019,Gender of Top Manager,,Top manager is male,Average,17.3,5.8,0,,41.8,35.7,49.4,,
Seychelles,2023,,,,Average,60.6,21.4,26.3,39.3,33,24.1,34.6,,65.6
Seychelles,2023,Sector,Manufacturing,All,Average,72.1,1.5,5.8,82.7,28.2,24.1,34.6,,
Seychelles,2023,Sector,Manufacturing,Manufacturing,Average,72.1,1.5,5.8,82.7,28.2,24.1,34.6,,
Seychelles,2023,Sector,Services,All,Average,58.7,24.7,29.7,27.1,33.8,,,,65.6
Seychelles,2023,Sector,Services,Services,Average,58.7,24.7,29.7,27.1,33.8,,,,65.6
Seychelles,2023,Size,,Small (5-19),Average,58.7,20.9,23.7,29.1,33.1,22.6,33,,67.2
Seychelles,2023,Size,,Medium (20-99),Average,62.4,24.8,37.1,71.4,34.7,n.a.,n.a.,,64.9
Seychelles,2023,Size,,Large (100+),Average,85.7,12.2,14.3,n.a.,21.8,n.a.,,,n.a.
Seychelles,2023,Gender of Top Manager,,Top manager is female,Average,79.4,54.3,100,n.a.,56.4,n.a.,n.a.,n.a.,73.9
Seychelles,2023,Gender of Top Manager,,Top manager is male,Average,53.9,9.9,0,33.8,24.5,21.9,35.8,n.a.,60.1
Sierra Leone,2009,,,,Average,7.9,1.7,7.1,,17.4,,,,
Sierra Leone,2009,Sector,Manufacturing,All,Average,27.6,7.4,25.9,,22.9,,,,
Sierra Leone,2009,Sector,Manufacturing,Manufacturing,Average,27.6,7.4,25.9,,22.9,,,,
Sierra Leone,2009,Sector,Services,All,Average,4.6,0.2,3.8,,16,,,,
Sierra Leone,2009,Sector,Services,Services,Average,4.6,0.2,3.8,,16,,,,
Sierra Leone,2009,Size,,Small (5-19),Average,6.4,1.7,5.5,,16.5,,,,
Sierra Leone,2009,Size,,Medium (20-99),Average,14.5,0,11.4,,26,,,,
Sierra Leone,2009,Size,,Large (100+),Average,0,8.5,9.6,,10,,,,
Sierra Leone,2009,Gender of Top Manager,,Top manager is female,Average,n.a.,24.7,100,,40.4,,,,
Sierra Leone,2009,Gender of Top Manager,,Top manager is male,Average,0,0.6,0,,24.5,,,,
Sierra Leone,2017,,,,Average,18.8,16.9,15.9,,23.3,23.6,33.5,,
Sierra Leone,2017,Sector,Manufacturing,All,Average,14.5,12.7,11,,24.3,23.6,33.5,,
Sierra Leone,2017,Sector,Manufacturing,Manufacturing,Average,14.5,12.7,11,,24.3,23.6,33.5,,
Sierra Leone,2017,Sector,Services,All,Average,21.8,19.7,19.4,,22.6,,,,
Sierra Leone,2017,Sector,Services,Services,Average,21.8,19.7,19.4,,22.6,,,,
Sierra Leone,2017,Size,,Small (5-19),Average,19.4,18.6,16.8,,23.8,24.3,34.2,,
Sierra Leone,2017,Size,,Medium (20-99),Average,14.6,5.7,12.1,,19.9,16.7,27.7,,
Sierra Leone,2017,Size,,Large (100+),Average,16.7,4.2,4,,20.9,n.a.,n.a.,,
Sierra Leone,2017,Gender of Top Manager,,Top manager is female,Average,86,80.8,100,,41.2,71.8,68.5,,
Sierra Leone,2017,Gender of Top Manager,,Top manager is male,Average,6.1,4.7,0,,19.9,17.7,27.7,,
Sierra Leone,2023,,,,Average,19.1,13.7,13,3,29.3,36.8,22.7,10,29.9
Sierra Leone,2023,Sector,Manufacturing,All,Average,13.9,6.6,5,0,35.9,36.8,22.7,10,
Sierra Leone,2023,Sector,Manufacturing,Manufacturing,Average,13.9,6.6,5,0,35.9,36.8,22.7,10,
Sierra Leone,2023,Sector,Services,All,Average,22.3,17.9,17.7,5.1,25.1,,,,29.9
Sierra Leone,2023,Sector,Services,Services,Average,22.3,17.9,17.7,5.1,25.1,,,,29.9
Sierra Leone,2023,Size,,Small (5-19),Average,19.5,14.9,14.2,1.7,30.2,40.1,25.6,9.5,25.8
Sierra Leone,2023,Size,,Medium (20-99),Average,15,1,0.9,6.2,20.4,9.1,5,13.2,47.4
Sierra Leone,2023,Size,,Large (100+),Average,20.6,0,0,n.a.,16.1,,n.a.,,n.a.
Sierra Leone,2023,Gender of Top Manager,,Top manager is female,Average,93.9,88.3,100,,48.8,n.a.,n.a.,n.a.,n.a.
Sierra Leone,2023,Gender of Top Manager,,Top manager is male,Average,7.8,2.1,0,3,26.5,34.9,22,9.8,16.4
Singapore,2023,,,,Average,35.9,9.2,21.8,34,31.2,21.8,61.2,61,62.6
Singapore,2023,Sector,Manufacturing,All,Average,40.3,10,23.5,43.3,32.6,21.8,61.2,61,
Singapore,2023,Sector,Manufacturing,Manufacturing,Average,40.3,10,23.5,43.3,32.6,21.8,61.2,61,
Singapore,2023,Sector,Services,All,Average,35,9,21.5,30.6,30.9,,,,62.6
Singapore,2023,Sector,Services,Construction,Average,29,7.4,21,28.2,13.8,,,,56.5
Singapore,2023,Sector,Services,Wholesale,Average,45.3,10.3,26.1,49.8,37.9,,,,55.1
Singapore,2023,Sector,Services,Professional Activities,Average,39.8,12.8,28.8,28.7,38.7,,,,66.1
Singapore,2023,Sector,Services,Other Services,Average,32.1,8.1,17.1,21.2,34.5,,,,68.3
Singapore,2023,Size,,Small (5-19),Average,36.6,11.3,24.5,35.3,33,19.7,59.9,71.5,64.6
Singapore,2023,Size,,Medium (20-99),Average,34.9,6.1,18.5,29.6,28.8,25.6,65.4,52.9,57.3
Singapore,2023,Size,,Large (100+),Average,33.6,3,10.4,40.7,23.5,20.8,50.4,56.4,75.2
Singapore,2023,Gender of Top Manager,,Top manager is female,Average,85.2,40.7,100,100,40.8,30.1,65.2,100,75.5
Singapore,2023,Gender of Top Manager,,Top manager is male,Average,22.1,0.4,0,25.5,28.5,19.1,60.2,52.6,57.5
Slovak Republic,2009,,,,Average,29.6,,19.8,,39.4,37.8,53.4,,
Slovak Republic,2009,Sector,Manufacturing,All,Average,30.9,,14.8,,41,37.8,53.4,,
Slovak Republic,2009,Sector,Manufacturing,Manufacturing,Average,30.9,,14.8,,41,37.8,53.4,,
Slovak Republic,2009,Sector,Services,All,Average,28.5,,23.8,,38.1,,,,
Slovak Republic,2009,Sector,Services,Retail,Average,43.8,,19.7,,46.4,,,,
Slovak Republic,2009,Sector,Services,Other Services,Average,26.1,,24.5,,36.7,,,,
Slovak Republic,2009,Size,,Medium (20-99),Average,26.5,,30.7,,39,42.1,42.3,,
Slovak Republic,2009,Size,,Small (5-19),Average,30.9,,16,,39.1,34.8,58.6,,
Slovak Republic,2009,Size,,Large (100+),Average,27.5,,10.7,,45.8,49.3,49.3,,
Slovak Republic,2009,Gender of Top Manager,,Top manager is female,Average,63.2,,100,,52.1,51.6,70.1,,
Slovak Republic,2009,Gender of Top Manager,,Top manager is male,Average,21.3,,0,,36,35.1,49.9,,
Slovak Republic,2013,,,,Average,29.7,5.1,14,,33.3,32.1,44.1,,
Slovak Republic,2013,Sector,Manufacturing,All,Average,27.6,8.7,11.7,,38.9,32.1,44.1,,
Slovak Republic,2013,Sector,Manufacturing,Manufacturing,Average,27.6,8.7,11.7,,38.9,32.1,44.1,,
Slovak Republic,2013,Sector,Services,All,Average,30.8,3.2,15.1,,30.3,,,,
Slovak Republic,2013,Sector,Services,Retail,Average,36.2,14.4,28.3,,48.8,,,,
Slovak Republic,2013,Sector,Services,Other Services,Average,29.3,0,11.6,,25.7,,,,
Slovak Republic,2013,Size,,Small (5-19),Average,23.4,6.5,15.1,,33.2,29.9,45,,
Slovak Republic,2013,Size,,Medium (20-99),Average,37.2,2.6,11.8,,35.8,33.4,45.3,,
Slovak Republic,2013,Size,,Large (100+),Average,47.8,4,14.2,,25.4,34.6,38,,
Slovak Republic,2013,Gender of Top Manager,,Top manager is female,Average,79.7,34.7,100,,50.9,56.8,51.4,,
Slovak Republic,2013,Gender of Top Manager,,Top manager is male,Average,22.3,0.7,0,,30.6,28.8,43.1,,
Slovak Republic,2019,,,,Average,28.9,11.8,22.9,,37.2,32.9,40.8,,
Slovak Republic,2019,Sector,Manufacturing,All,Average,28.9,7.2,24.8,,35.7,32.9,40.8,,
Slovak Republic,2019,Sector,Manufacturing,Food,Average,43.1,18.9,40.8,,59.4,59.8,58,,
Slovak Republic,2019,Sector,Manufacturing,Other Manufacturing,Average,26,4.9,21.6,,30.8,27.4,37.3,,
Slovak Republic,2019,Sector,Services,All,Average,28.9,13.8,22.1,,37.9,,,,
Slovak Republic,2019,Sector,Services,Retail,Average,46.7,29.4,36,,51.6,,,,
Slovak Republic,2019,Sector,Services,Other Services,Average,21.6,7.3,16.4,,32.3,,,,
Slovak Republic,2019,Size,,Small (5-19),Average,28.5,13.4,24.2,,36.8,28.2,38.4,,
Slovak Republic,2019,Size,,Medium (20-99),Average,23.7,2.3,16.1,,36.8,40,45.4,,
Slovak Republic,2019,Size,,Large (100+),Average,43.8,20.4,28.3,,42.5,39.8,41.7,,
Slovak Republic,2019,Gender of Top Manager,,Top manager is female,Average,81.1,41,100,,56.1,41.4,40.5,,
Slovak Republic,2019,Gender of Top Manager,,Top manager is male,Average,13.4,3.1,0,,31.6,30.1,40.9,,
Slovak Republic,2023,,,,Average,25.6,11.9,20.6,26.2,39,34,53,85.6,69.4
Slovak Republic,2023,Sector,Manufacturing,All,Average,31.2,6.7,11.8,17.1,39.8,34,53,85.6,
Slovak Republic,2023,Sector,Manufacturing,Manufacturing,Average,31.2,6.7,11.8,17.1,39.8,34,53,85.6,
Slovak Republic,2023,Sector,Services,All,Average,24.2,13.1,22.7,28.5,38.8,,,,69.4
Slovak Republic,2023,Sector,Services,Retail,Average,36,11.6,28.4,33.9,50,,,,59.5
Slovak Republic,2023,Sector,Services,Other Services,Average,22.2,13.4,21.8,26.5,36.9,,,,71.1
Slovak Republic,2023,Size,,Small (5-19),Average,25.1,11.9,21.3,27.4,39.4,29.3,55.5,97.5,66
Slovak Republic,2023,Size,,Medium (20-99),Average,29.8,13.5,18.6,22.1,37.1,42.2,50.2,68.2,79.6
Slovak Republic,2023,Size,,Large (100+),Average,14.6,4,17,n.a.,42,37.4,48.7,87.1,82.2
Slovak Republic,2023,Gender of Top Manager,,Top manager is female,Average,77.1,48.3,100,n.a.,58.5,51.9,71.6,n.a.,63.4
Slovak Republic,2023,Gender of Top Manager,,Top manager is male,Average,12.2,2.4,0,15.7,33.8,31.4,50.2,85.7,71
Slovenia,2009,,,,Average,42.2,,15.9,,30,26.2,43.7,,
Slovenia,2009,Sector,Manufacturing,All,Average,48.4,,16.3,,31.1,26.2,43.7,,
Slovenia,2009,Sector,Manufacturing,Manufacturing,Average,48.4,,16.3,,31.1,26.2,43.7,,
Slovenia,2009,Sector,Services,All,Average,38.9,,15.6,,29.4,,,,
Slovenia,2009,Sector,Services,Retail,Average,46.7,,21.4,,51.8,,,,
Slovenia,2009,Sector,Services,Other Services,Average,38.1,,15.1,,27.1,,,,
Slovenia,2009,Size,,Small (5-19),Average,39.3,,18.2,,32.3,28.5,45.5,,
Slovenia,2009,Size,,Large (100+),Average,50,,19.2,,31.7,26.5,41.6,,
Slovenia,2009,Size,,Medium (20-99),Average,46.4,,9.2,,23.8,22.6,41.8,,
Slovenia,2009,Gender of Top Manager,,Top manager is female,Average,87.5,,100,,46.8,43.2,67.4,,
Slovenia,2009,Gender of Top Manager,,Top manager is male,Average,33.6,,0,,26.8,23.3,39.5,,
Slovenia,2013,,,,Average,38.5,14,21.9,,34.1,15.4,43.1,,
Slovenia,2013,Sector,Manufacturing,All,Average,51.6,15,23,,27.7,15.4,43.1,,
Slovenia,2013,Sector,Manufacturing,Manufacturing,Average,51.6,15,23,,27.7,15.4,43.1,,
Slovenia,2013,Sector,Services,All,Average,33.9,13.6,21.5,,36.3,,,,
Slovenia,2013,Sector,Services,Retail,Average,49.3,16,26.1,,53.3,,,,
Slovenia,2013,Sector,Services,Other Services,Average,32,13.3,21,,34.4,,,,
Slovenia,2013,Size,,Small (5-19),Average,36.5,15.4,21.2,,35.5,12.2,43.3,,
Slovenia,2013,Size,,Medium (20-99),Average,48.1,10.8,29.3,,28.4,19.1,42.5,,
Slovenia,2013,Size,,Large (100+),Average,37.1,0,6.7,,32.1,29.3,43.7,,
Slovenia,2013,Gender of Top Manager,,Top manager is female,Average,84.3,45.6,100,,41.7,14.7,57.9,,
Slovenia,2013,Gender of Top Manager,,Top manager is male,Average,25.2,4.6,0,,32,15.5,39.8,,
Slovenia,2019,,,,Average,34.1,11.1,18.8,,33.7,23.1,48,,
Slovenia,2019,Sector,Manufacturing,All,Average,39.9,11.6,19.7,,30.7,23.1,48,,
Slovenia,2019,Sector,Manufacturing,Manufacturing,Average,39.9,11.6,19.7,,30.7,23.1,48,,
Slovenia,2019,Sector,Services,All,Average,31.3,10.9,18.4,,35.2,,,,
Slovenia,2019,Sector,Services,Retail,Average,34.3,13.4,20.9,,47.1,,,,
Slovenia,2019,Sector,Services,Other Services,Average,30.7,10.4,18,,33,,,,
Slovenia,2019,Size,,Small (5-19),Average,32.1,13,19.6,,34.5,21.9,52.3,,
Slovenia,2019,Size,,Medium (20-99),Average,37.1,6.5,18.1,,31.5,24.5,41.4,,
Slovenia,2019,Size,,Large (100+),Average,50.3,2.8,10.5,,33.1,26.3,42.7,,
Slovenia,2019,Gender of Top Manager,,Top manager is female,Average,75.3,39.1,100,,38,14.1,57.5,,
Slovenia,2019,Gender of Top Manager,,Top manager is male,Average,24.5,4.8,0,,32.5,25.5,45.4,,
Solomon Islands,2015,,,,Average,47.4,12.8,22.6,,34,,,,
Solomon Islands,2015,Sector,Manufacturing,All,Average,51,10.8,15.9,,n.a.,,,,
Solomon Islands,2015,Sector,Manufacturing,Manufacturing,Average,51,10.8,15.9,,n.a.,,,,
Solomon Islands,2015,Sector,Services,All,Average,46.2,13.4,24.8,,34.5,,,,
Solomon Islands,2015,Sector,Services,Services,Average,46.2,13.4,24.8,,34.5,,,,
Solomon Islands,2015,Size,,Medium (20-99),Average,43.8,15,21.4,,29.2,,,,
Solomon Islands,2015,Size,,Small (5-19),Average,51.4,12.3,26.4,,40.4,,,,
Solomon Islands,2015,Size,,Large (100+),Average,48.2,5.2,14.8,,25.2,,,,
Solomon Islands,2015,Gender of Top Manager,,Top manager is female,Average,77.8,37.6,100,,41.5,,,,
Solomon Islands,2015,Gender of Top Manager,,Top manager is male,Average,38.3,5.6,0,,31.4,,,,
South Africa,2007,,,,Average,22.6,,,,29.1,26.6,41.9,,
South Africa,2007,Sector,Manufacturing,All,Average,21.8,,,,29.1,26.6,41.9,,
South Africa,2007,Sector,Manufacturing,Manufacturing,Average,21.8,,,,29.1,26.6,41.9,,
South Africa,2007,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,12.2,,,,23.7,18.6,36.2,,
South Africa,2007,Sector,Services,All,Average,24.7,,,,,,,,
South Africa,2007,Sector,Services,Retail,Average,23.2,,,,,,,,
South Africa,2007,Sector,Services,Rest of Universe-Services,Average,26.1,,,,,,,,
South Africa,2007,Size,,Medium (20-99),Average,23.5,,,,33,30.7,43.9,,
South Africa,2007,Size,,Small (5-19),Average,22.5,,,,24.8,21.9,40.6,,
South Africa,2007,Size,,Large (100+),Average,19.7,,,,27,25.3,38.3,,
South Africa,2020,,,,Average,10.6,8.7,38.5,,39.5,44.9,73.1,,
South Africa,2020,Sector,Manufacturing,All,Average,6.7,4.3,33.6,,44.2,44.9,73.1,,
South Africa,2020,Sector,Manufacturing,Food,Average,5.6,5.6,33.9,,54.8,54.8,100,,
South Africa,2020,Sector,Manufacturing,Textiles & Garments,Average,24,22.3,39.7,,59.3,61.1,69.4,,
South Africa,2020,Sector,Manufacturing,Fabricated Metal Products,Average,0,0,18.7,,52.2,49.6,87.2,,
South Africa,2020,Sector,Manufacturing,Motor Vehicles,Average,2.9,0,27.9,,21.6,22.7,41.2,,
South Africa,2020,Sector,Manufacturing,Other Manufacturing,Average,5.1,1.9,35.5,,39.9,41,69.4,,
South Africa,2020,Sector,Services,All,Average,12.1,10.3,40.4,,37.8,,,,
South Africa,2020,Sector,Services,Construction,Average,2.6,2.6,21.3,,28.2,,,,
South Africa,2020,Sector,Services,Retail,Average,4.2,3.8,41.4,,38.9,,,,
South Africa,2020,Sector,Services,Other Services,Average,20.1,16.8,47.3,,40.9,,,,
South Africa,2020,Size,,Small (5-19),Average,14.6,12.3,41,,39.5,44.1,84.8,,
South Africa,2020,Size,,Medium (20-99),Average,6.3,4.5,37.4,,39.8,42.9,56.7,,
South Africa,2020,Size,,Large (100+),Average,0.5,0.2,26.6,,38.1,51.6,66.8,,
South Africa,2020,Gender of Top Manager,,Top manager is female,Average,20.4,17.5,100,,38.1,31.5,57.1,,
South Africa,2020,Gender of Top Manager,,Top manager is male,Average,4.4,3.2,0,,40.3,51.6,78.4,,
South Sudan,2014,,,,Average,21.9,7.1,9.5,,23.3,12.9,21.4,,
South Sudan,2014,Sector,Manufacturing,All,Average,25.1,8.6,9,,15.1,12.9,21.4,,
South Sudan,2014,Sector,Manufacturing,Manufacturing,Average,25.1,8.6,9,,15.1,12.9,21.4,,
South Sudan,2014,Sector,Services,All,Average,21.6,6.9,9.5,,24.1,,,,
South Sudan,2014,Sector,Services,Retail,Average,19.4,7.8,10,,18.7,,,,
South Sudan,2014,Sector,Services,Other Services,Average,23.1,6.3,9.1,,28.1,,,,
South Sudan,2014,Size,,Small (5-19),Average,20,7.2,9.7,,22.3,11,18.9,,
South Sudan,2014,Size,,Medium (20-99),Average,34.2,7.1,8.6,,31.3,18.8,30,,
South Sudan,2014,Size,,Large (100+),Average,29,0,0,,n.a.,,n.a.,,
South Sudan,2014,Gender of Top Manager,,Top manager is female,Average,61.2,37.2,100,,41.8,37.6,43.5,,
South Sudan,2014,Gender of Top Manager,,Top manager is male,Average,17.7,3.9,0,,21.4,10.3,19.1,,
Spain,2021,,,,Average,61.8,10.1,17.6,,28.5,16.8,48.3,,
Spain,2021,Sector,Manufacturing,All,Average,63.7,15.4,27.5,,28.6,16.8,48.3,,
Spain,2021,Sector,Manufacturing,Food,Average,65.4,16.4,17.6,,37.4,28,49.8,,
Spain,2021,Sector,Manufacturing,Fabricated Metal Products,Average,55.8,21.9,11.8,,15.8,5.5,44.4,,
Spain,2021,Sector,Manufacturing,Machinery & Equipment,Average,61.1,2.9,2.5,,14.6,2.7,36.9,,
Spain,2021,Sector,Manufacturing,Furniture,Average,79.7,40.9,41.8,,39.9,9.7,65,,
Spain,2021,Sector,Manufacturing,Other Manufacturing,Average,62.9,10.9,38.1,,29.6,20,48,,
Spain,2021,Sector,Services,All,Average,61.1,8.1,13.8,,28.5,,,,
Spain,2021,Sector,Services,Retail,Average,82.3,7.9,8.1,,42.1,,,,
Spain,2021,Sector,Services,Other Services,Average,56.4,8.1,15,,25.4,,,,
Spain,2021,Size,,Medium (20-99),Average,59.5,15,16.8,,29.4,14.5,44.5,,
Spain,2021,Size,,Small (5-19),Average,63,7.4,17.1,,28.2,17.4,52,,
Spain,2021,Size,,Large (100+),Average,58.2,21.4,30.9,,27.7,21.4,34.1,,
Spain,2021,Gender of Top Manager,,Top manager is female,Average,96.1,32,100,,38.7,22.2,57.8,,
Spain,2021,Gender of Top Manager,,Top manager is male,Average,54.5,5.5,0,,26.3,14.8,44.7,,
Sri Lanka,2011,,,,Average,26.1,,8.8,,24,30.8,17.4,,
Sri Lanka,2011,Sector,Manufacturing,All,Average,23.9,,9.6,,28.9,30.8,17.4,,
Sri Lanka,2011,Sector,Manufacturing,Food,Average,33.5,,11.3,,28.1,30.4,19.2,,
Sri Lanka,2011,Sector,Manufacturing,Garments,Average,40.8,,22.1,,70.5,75.1,45.9,,
Sri Lanka,2011,Sector,Manufacturing,Other Manufacturing,Average,16.3,,6.8,,22.8,24.4,12.1,,
Sri Lanka,2011,Sector,Services,All,Average,28.4,,7.9,,18.9,,,,
Sri Lanka,2011,Sector,Services,Retail,Average,25.2,,8.4,,28.5,,,,
Sri Lanka,2011,Sector,Services,Other Services,Average,30.8,,7.6,,11.9,,,,
Sri Lanka,2011,Size,,Small (5-19),Average,21.5,,9.5,,20.3,26.1,11,,
Sri Lanka,2011,Size,,Medium (20-99),Average,38.5,,7.1,,34.9,39.4,31.3,,
Sri Lanka,2011,Size,,Large (100+),Average,49.5,,4.8,,37.8,43.9,31,,
Sri Lanka,2011,Gender of Top Manager,,Top manager is female,Average,78,,100,,44.4,57.6,38.9,,
Sri Lanka,2011,Gender of Top Manager,,Top manager is male,Average,21,,0,,22,27.9,15,,
St. Kitts and Nevis,2010,,,,Average,57.8,,21.1,,43.3,,,,
St. Kitts and Nevis,2010,Sector,Manufacturing,All,Average,65.8,,31.7,,41.4,,,,
St. Kitts and Nevis,2010,Sector,Manufacturing,Manufacturing,Average,65.8,,31.7,,41.4,,,,
St. Kitts and Nevis,2010,Sector,Services,All,Average,56.3,,19.2,,43.7,,,,
St. Kitts and Nevis,2010,Sector,Services,Services,Average,56.3,,19.2,,43.7,,,,
St. Kitts and Nevis,2010,Size,,Small (5-19),Average,54.6,,23.7,,40.2,,,,
St. Kitts and Nevis,2010,Size,,Medium (20-99),Average,62.3,,15.4,,47.6,,,,
St. Kitts and Nevis,2010,Size,,Large (100+),Average,76.2,,19.9,,75.1,,,,
St. Kitts and Nevis,2010,Gender of Top Manager,,Top manager is female,Average,83.6,,100,,59.1,,,,
St. Kitts and Nevis,2010,Gender of Top Manager,,Top manager is male,Average,50.9,,0,,39,,,,
St. Lucia,2010,,,,Average,32.1,,23.7,,41.5,,,,
St. Lucia,2010,Sector,Manufacturing,All,Average,27.2,,21.5,,37.6,,,,
St. Lucia,2010,Sector,Manufacturing,Manufacturing,Average,27.2,,21.5,,37.6,,,,
St. Lucia,2010,Sector,Services,All,Average,33,,24.1,,42.2,,,,
St. Lucia,2010,Sector,Services,Services,Average,33,,24.1,,42.2,,,,
St. Lucia,2010,Size,,Small (5-19),Average,25.7,,18.7,,37.1,,,,
St. Lucia,2010,Size,,Medium (20-99),Average,51.6,,39.2,,50.6,,,,
St. Lucia,2010,Size,,Large (100+),Average,19,,12.6,,56.2,,,,
St. Lucia,2010,Gender of Top Manager,,Top manager is female,Average,67.9,,100,,45.3,,,,
St. Lucia,2010,Gender of Top Manager,,Top manager is male,Average,21,,0,,40.3,,,,
St. Vincent and the Grenadines,2010,,,,Average,76,,38.6,,49.3,,,,
St. Vincent and the Grenadines,2010,Sector,Manufacturing,All,Average,70.7,,28.5,,32,,,,
St. Vincent and the Grenadines,2010,Sector,Manufacturing,Manufacturing,Average,70.7,,28.5,,32,,,,
St. Vincent and the Grenadines,2010,Sector,Services,All,Average,77.1,,40.7,,52.7,,,,
St. Vincent and the Grenadines,2010,Sector,Services,Services,Average,77.1,,40.7,,52.7,,,,
St. Vincent and the Grenadines,2010,Size,,Small (5-19),Average,76.9,,41.3,,52.3,,,,
St. Vincent and the Grenadines,2010,Size,,Medium (20-99),Average,69.3,,25.7,,37.6,,,,
St. Vincent and the Grenadines,2010,Size,,Large (100+),Average,100,,52.9,,n.a.,,,,
St. Vincent and the Grenadines,2010,Gender of Top Manager,,Top manager is female,Average,92.9,,100,,53.4,,,,
St. Vincent and the Grenadines,2010,Gender of Top Manager,,Top manager is male,Average,65.9,,0,,46.7,,,,
Sudan,2014,,,,Average,8.2,2.3,3.4,,13.6,8.9,11.6,,
Sudan,2014,Sector,Manufacturing,All,Average,15.3,6.6,3.3,,8.8,8.9,11.6,,
Sudan,2014,Sector,Manufacturing,Manufacturing,Average,15.3,6.6,3.3,,8.8,8.9,11.6,,
Sudan,2014,Sector,Services,All,Average,7.2,1.7,3.4,,14.1,,,,
Sudan,2014,Sector,Services,Wholesale,Average,8.1,2,3.6,,13.5,,,,
Sudan,2014,Sector,Services,Retail,Average,6.7,1.7,2.4,,15.4,,,,
Sudan,2014,Sector,Services,Services,Average,n.a.,n.a.,n.a.,,n.a.,,,,
Sudan,2014,Sector,Services,Other Services,Average,6.1,1.2,4.2,,13.9,,,,
Sudan,2014,Size,,Small (5-19),Average,4.1,1.5,2.5,,13.7,7.2,5.7,,
Sudan,2014,Size,,Medium (20-99),Average,12.5,2.6,4.6,,15,10.1,17.8,,
Sudan,2014,Size,,Large (100+),Average,17.5,6.5,4.4,,4.3,9.4,7.2,,
Sudan,2014,Gender of Top Manager,,Top manager is female,Average,49.7,30.8,100,,19.3,n.a.,n.a.,,
Sudan,2014,Gender of Top Manager,,Top manager is male,Average,6.7,1.3,0,,13.3,8.7,11.5,,
Suriname,2010,,,,Average,18.3,,15,,34.1,,,,
